0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.48		0.267597		0.339262
0.481		0.26742		0.339026
0.482		0.267243		0.33879
0.483		0.267066		0.338553
0.484		0.266888		0.338316
0.485		0.26671		0.338078
0.486		0.266533		0.33784
0.487		0.266354		0.337602
0.488		0.266176		0.337363
0.489		0.265997		0.337124
0.49		0.265818		0.336884
0.491		0.265639		0.336644
0.492		0.26546		0.336404
0.493		0.265281		0.336164
0.494		0.265101		0.335923
0.495		0.264921		0.335681
0.496		0.264741		0.33544
0.497		0.264561		0.335198
0.498		0.264381		0.334956
0.499		0.2642		0.334714
0.5		0.26402		0.334471
0.501		0.263839		0.334228
0.502		0.263658		0.333985
0.503		0.263477		0.333741
0.504		0.263296		0.333498
0.505		0.263115		0.333254
0.506		0.262933		0.33301
0.507		0.262752		0.332765
0.508		0.26257		0.332521
0.509		0.262388		0.332276
0.51		0.262206		0.332031
0.511		0.262024		0.331786
0.512		0.261842		0.331541
0.513		0.26166		0.331295
0.514		0.261478		0.331049
0.515		0.261296		0.330804
0.516		0.261113		0.330558
0.517		0.260931		0.330311
0.518		0.260748		0.330065
0.519		0.260566		0.329819
0.52		0.260383		0.329572
0.521		0.260201		0.329325
0.522		0.260018		0.329079
0.523		0.259835		0.328832
0.524		0.259652		0.328585
0.525		0.259469		0.328338
0.526		0.259286		0.32809
0.527		0.259103		0.327843
0.528		0.25892		0.327596
0.529		0.258737		0.327348
0.53		0.258554		0.327101
0.531		0.258371		0.326853
0.532		0.258188		0.326606
0.533		0.258005		0.326358
0.534		0.257822		0.32611
0.535		0.257639		0.325862
0.536		0.257456		0.325615
0.537		0.257273		0.325367
0.538		0.25709		0.325119
0.539		0.256907		0.324871
0.54		0.256723		0.324623
0.541		0.25654		0.324375
0.542		0.256357		0.324127
0.543		0.256174		0.323879
0.544		0.255991		0.323631
0.545		0.255808		0.323383
0.546		0.255625		0.323135
0.547		0.255442		0.322887
0.548		0.255259		0.322639
0.549		0.255076		0.322391
0.55		0.254894		0.322143
0.551		0.254711		0.321895
0.552		0.254528		0.321647
0.553		0.254345		0.3214
0.554		0.254162		0.321152
0.555		0.25398		0.320904
0.556		0.253797		0.320656
0.557		0.253615		0.320409
0.558		0.253432		0.320161
0.559		0.25325		0.319914
0.56		0.253067		0.319666
0.561		0.252885		0.319419
0.562		0.252703		0.319171
0.563		0.25252		0.318924
0.564		0.252338		0.318677
0.565		0.252156		0.31843
0.566		0.251974		0.318183
0.567		0.251792		0.317936
0.568		0.25161		0.317689
0.569		0.251428		0.317442
0.57		0.251247		0.317195
0.571		0.251065		0.316949
0.572		0.250884		0.316702
0.573		0.250702		0.316456
0.574		0.250521		0.316209
0.575		0.250339		0.315963
0.576		0.250158		0.315717
0.577		0.249977		0.315471
0.578		0.249796		0.315225
0.579		0.249615		0.314979
0.58		0.249434		0.314734
0.581		0.249253		0.314488
0.582		0.249073		0.314243
0.583		0.248892		0.313998
0.584		0.248712		0.313752
0.585		0.248531		0.313507
0.586		0.248351		0.313263
0.587		0.248171		0.313018
0.588		0.247991		0.312773
0.589		0.247811		0.312529
0.59		0.247631		0.312284
0.591		0.247451		0.31204
0.592		0.247271		0.311796
0.593		0.247092		0.311552
0.594		0.246912		0.311309
0.595		0.246733		0.311065
0.596		0.246554		0.310822
0.597		0.246375		0.310578
0.598		0.246196		0.310335
0.599		0.246017		0.310092
0.6		0.245838		0.30985
0.601		0.24566		0.309607
0.602		0.245481		0.309365
0.603		0.245303		0.309122
0.604		0.245125		0.30888
0.605		0.244947		0.308638
0.606		0.244769		0.308397
0.607		0.244591		0.308155
0.608		0.244413		0.307914
0.609		0.244235		0.307672
0.61		0.244058		0.307431
0.611		0.243881		0.30719
0.612		0.243703		0.30695
0.613		0.243526		0.306709
0.614		0.243349		0.306469
0.615		0.243173		0.306229
0.616		0.242996		0.305989
0.617		0.242819		0.305749
0.618		0.242643		0.30551
0.619		0.242467		0.30527
0.62		0.24229		0.305031
0.621		0.242114		0.304792
0.622		0.241939		0.304553
0.623		0.241763		0.304315
0.624		0.241587		0.304077
0.625		0.241412		0.303838
0.626		0.241236		0.3036
0.627		0.241061		0.303363
0.628		0.240886		0.303125
0.629		0.240711		0.302888
0.63		0.240537		0.302651
0.631		0.240362		0.302414
0.632		0.240188		0.302177
0.633		0.240013		0.30194
0.634		0.239839		0.301704
0.635		0.239665		0.301468
0.636		0.239491		0.301232
0.637		0.239318		0.300996
0.638		0.239144		0.300761
0.639		0.238971		0.300526
0.64		0.238797		0.300291
0.641		0.238624		0.300056
0.642		0.238451		0.299821
0.643		0.238278		0.299587
0.644		0.238106		0.299353
0.645		0.237933		0.299119
0.646		0.237761		0.298885
0.647		0.237589		0.298652
0.648		0.237417		0.298418
0.649		0.237245		0.298185
0.65		0.237073		0.297953
0.651		0.236901		0.29772
0.652		0.23673		0.297488
0.653		0.236559		0.297256
0.654		0.236388		0.297024
0.655		0.236217		0.296792
0.656		0.236046		0.296561
0.657		0.235875		0.296329
0.658		0.235705		0.296098
0.659		0.235534		0.295868
0.66		0.235364		0.295637
0.661		0.235194		0.295407
0.662		0.235024		0.295177
0.663		0.234855		0.294947
0.664		0.234685		0.294717
0.665		0.234516		0.294488
0.666		0.234346		0.294259
0.667		0.234177		0.29403
0.668		0.234008		0.293801
0.669		0.23384		0.293573
0.67		0.233671		0.293345
0.671		0.233503		0.293117
0.672		0.233334		0.292889
0.673		0.233166		0.292662
0.674		0.232998		0.292434
0.675		0.23283		0.292207
0.676		0.232663		0.291981
0.677		0.232495		0.291754
0.678		0.232328		0.291528
0.679		0.232161		0.291302
0.68		0.231994		0.291076
0.681		0.231827		0.290851
0.682		0.23166		0.290625
0.683		0.231494		0.2904
0.684		0.231328		0.290175
0.685		0.231162		0.289951
0.686		0.230996		0.289726
0.687		0.23083		0.289502
0.688		0.230664		0.289279
0.689		0.230499		0.289055
0.69		0.230333		0.288832
0.691		0.230168		0.288609
0.692		0.230003		0.288386
0.693		0.229838		0.288163
0.694		0.229673		0.287941
0.695		0.229509		0.287719
0.696		0.229345		0.287497
0.697		0.22918		0.287275
0.698		0.229016		0.287054
0.699		0.228852		0.286832
0.7		0.228689		0.286612
0.701		0.228525		0.286391
0.702		0.228362		0.28617
0.703		0.228199		0.28595
0.704		0.228036		0.28573
0.705		0.227873		0.285511
0.706		0.22771		0.285291
0.707		0.227548		0.285072
0.708		0.227385		0.284853
0.709		0.227223		0.284635
0.71		0.227061		0.284416
0.711		0.226899		0.284198
0.712		0.226737		0.28398
0.713		0.226576		0.283762
0.714		0.226414		0.283545
0.715		0.226253		0.283328
0.716		0.226092		0.283111
0.717		0.225931		0.282894
0.718		0.225771		0.282678
0.719		0.22561		0.282461
0.72		0.22545		0.282245
0.721		0.225289		0.28203
0.722		0.225129		0.281814
0.723		0.22497		0.281599
0.724		0.22481		0.281384
0.725		0.22465		0.281169
0.726		0.224491		0.280955
0.727		0.224332		0.280741
0.728		0.224173		0.280527
0.729		0.224014		0.280313
0.73		0.223855		0.2801
0.731		0.223696		0.279886
0.732		0.223538		0.279674
0.733		0.22338		0.279461
0.734		0.223222		0.279248
0.735		0.223064		0.279036
0.736		0.222906		0.278824
0.737		0.222749		0.278612
0.738		0.222591		0.278401
0.739		0.222434		0.27819
0.74		0.222277		0.277979
0.741		0.22212		0.277768
0.742		0.221963		0.277558
0.743		0.221807		0.277347
0.744		0.22165		0.277137
0.745		0.221494		0.276928
0.746		0.221338		0.276718
0.747		0.221182		0.276509
0.748		0.221026		0.2763
0.749		0.220871		0.276091
0.75		0.220716		0.275883
0.751		0.22056		0.275674
0.752		0.220405		0.275466
0.753		0.22025		0.275259
0.754		0.220096		0.275051
0.755		0.219941		0.274844
0.756		0.219787		0.274637
0.757		0.219632		0.27443
0.758		0.219478		0.274224
0.759		0.219324		0.274017
0.76		0.219171		0.273811
0.761		0.219017		0.273605
0.762		0.218864		0.2734
0.763		0.21871		0.273195
0.764		0.218557		0.27299
0.765		0.218404		0.272785
0.766		0.218251		0.27258
0.767		0.218099		0.272376
0.768		0.217946		0.272172
0.769		0.217794		0.271968
0.77		0.217642		0.271765
0.771		0.21749		0.271561
0.772		0.217338		0.271358
0.773		0.217187		0.271155
0.774		0.217035		0.270953
0.775		0.216884		0.27075
0.776		0.216733		0.270548
0.777		0.216582		0.270346
0.778		0.216431		0.270145
0.779		0.21628		0.269943
0.78		0.21613		0.269742
