0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.719		0.307353		0.0086751
0.72		0.306985		0.00865729
0.721		0.306618		0.00863954
0.722		0.30625		0.00862187
0.723		0.305882		0.00860426
0.724		0.305514		0.00858673
0.725		0.305146		0.00856926
0.726		0.304778		0.00855186
0.727		0.30441		0.00853453
0.728		0.304042		0.00851727
0.729		0.303673		0.00850008
0.73		0.303305		0.00848295
0.731		0.302937		0.00846589
0.732		0.302568		0.00844889
0.733		0.3022		0.00843197
0.734		0.301831		0.0084151
0.735		0.301463		0.00839831
0.736		0.301095		0.00838157
0.737		0.300726		0.00836491
0.738		0.300358		0.0083483
0.739		0.299989		0.00833176
0.74		0.299621		0.00831528
0.741		0.299252		0.00829887
0.742		0.298884		0.00828252
0.743		0.298516		0.00826623
0.744		0.298147		0.00825
0.745		0.297779		0.00823384
0.746		0.297411		0.00821774
0.747		0.297042		0.00820169
0.748		0.296674		0.00818571
0.749		0.296306		0.00816979
0.75		0.295938		0.00815393
0.751		0.29557		0.00813813
0.752		0.295202		0.00812239
0.753		0.294834		0.0081067
0.754		0.294466		0.00809108
0.755		0.294098		0.00807551
0.756		0.29373		0.00806
0.757		0.293363		0.00804455
0.758		0.292995		0.00802916
0.759		0.292627		0.00801382
0.76		0.29226		0.00799855
0.761		0.291893		0.00798332
0.762		0.291526		0.00796816
0.763		0.291158		0.00795305
0.764		0.290791		0.00793799
0.765		0.290425		0.00792299
0.766		0.290058		0.00790804
0.767		0.289691		0.00789315
0.768		0.289325		0.00787832
0.769		0.288958		0.00786354
0.77		0.288592		0.00784881
0.771		0.288226		0.00783413
0.772		0.28786		0.00781951
0.773		0.287494		0.00780494
0.774		0.287128		0.00779042
0.775		0.286763		0.00777596
0.776		0.286397		0.00776154
0.777		0.286032		0.00774718
0.778		0.285667		0.00773287
0.779		0.285302		0.00771861
0.78		0.284937		0.0077044
0.781		0.284572		0.00769024
0.782		0.284208		0.00767614
0.783		0.283844		0.00766208
0.784		0.283479		0.00764807
0.785		0.283115		0.00763411
0.786		0.282752		0.0076202
0.787		0.282388		0.00760634
0.788		0.282025		0.00759253
0.789		0.281662		0.00757876
0.79		0.281299		0.00756504
0.791		0.280936		0.00755137
0.792		0.280573		0.00753775
0.793		0.280211		0.00752418
0.794		0.279849		0.00751065
0.795		0.279487		0.00749717
0.796		0.279125		0.00748373
0.797		0.278763		0.00747034
0.798		0.278402		0.007457
0.799		0.278041		0.0074437
0.8		0.27768		0.00743045
0.801		0.277319		0.00741724
0.802		0.276959		0.00740408
0.803		0.276599		0.00739096
0.804		0.276239		0.00737789
0.805		0.275879		0.00736486
0.806		0.275519		0.00735188
0.807		0.27516		0.00733893
0.808		0.274801		0.00732603
0.809		0.274442		0.00731318
0.81		0.274084		0.00730037
0.811		0.273725		0.0072876
0.812		0.273367		0.00727487
0.813		0.27301		0.00726218
0.814		0.272652		0.00724954
0.815		0.272295		0.00723693
0.816		0.271938		0.00722437
0.817		0.271581		0.00721185
0.818		0.271225		0.00719938
0.819		0.270869		0.00718694
0.82		0.270513		0.00717454
0.821		0.270157		0.00716218
0.822		0.269802		0.00714987
0.823		0.269447		0.00713759
0.824		0.269092		0.00712535
0.825		0.268737		0.00711315
0.826		0.268383		0.00710099
0.827		0.268029		0.00708887
0.828		0.267675		0.00707679
0.829		0.267322		0.00706475
0.83		0.266969		0.00705274
0.831		0.266616		0.00704078
0.832		0.266264		0.00702885
0.833		0.265911		0.00701696
0.834		0.26556		0.0070051
0.835		0.265208		0.00699329
0.836		0.264857		0.00698151
0.837		0.264506		0.00696977
